task,model,duplicates,checkpoint,metric,mean,sem
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,30000,norm_ll_byte,-0.809079959043997,0.010993693601633136
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,32000,norm_ll_word,-4.725434757638228,0.08243985110233286
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,32000,norm_ll_byte,-0.8087375714033013,0.011140712651824838
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,34000,norm_ll_word,-4.702015134000751,0.081648344016572
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,34000,norm_ll_byte,-0.8047773073608349,0.011026195701376593
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,36000,norm_ll_word,-4.69679276833381,0.08168395300103466
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,36000,norm_ll_byte,-0.8039123525735641,0.01106910932893223
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,38000,norm_ll_word,-4.6870833751211505,0.08111199928587076
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,38000,norm_ll_byte,-0.8023105125311136,0.010983220192991926
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,40000,norm_ll_word,-4.674975171872021,0.08110715327009545
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,40000,norm_ll_byte,-0.8002844092606125,0.011023491442687147
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,42000,norm_ll_word,-4.660313220670221,0.08061202987287781
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,42000,norm_ll_byte,-0.7978015655620024,0.010948935316977616
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,44000,norm_ll_word,-4.660307698546787,0.08048279845349121
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,44000,norm_ll_byte,-0.7977869373850804,0.010928679180859656
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,46000,norm_ll_word,-4.649057136531546,0.08042711982353501
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,46000,norm_ll_byte,-0.795845371682239,0.01090825373569976
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,48000,norm_ll_word,-4.646025253891457,0.08077090950163825
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,48000,norm_ll_byte,-0.7953150480610645,0.010977152562893564
