task,model,duplicates,field_type,metric,mean,sem
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,university,acc,0.2732362821948488,0.014920499948312979
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,university,acc_norm,0.1511758118701008,0.011994098220584108
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,uuid,acc,0.05039193729003359,0.007324370367817795
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,uuid,acc_norm,0.05039193729003359,0.007324370367817795
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,birthdate,acc,0.011198208286674132,0.0035232743793013415
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,birthdate,acc_norm,0.06382978723404255,0.008184773781612123
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,birthplace,acc,0.4669652855543113,0.016704659121615898
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,birthplace,acc_norm,0.41097424412094063,0.016473732821772398
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,email,acc,0.0761478163493841,0.008880707058782338
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,email,acc_norm,0.06270996640537514,0.008117510450744766
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,nationality,acc,0.9529675251959686,0.0070885195123172005
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,nationality,acc_norm,0.7032474804031354,0.015295682943726206
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,occupation,acc,0.18477043673012317,0.012994924951113427
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,occupation,acc_norm,0.1791713325867861,0.01284038638855809
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,university,acc,0.2777155655095185,0.014995875000198451
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,university,acc_norm,0.1881298992161254,0.0130854830150289
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,uuid,acc,0.04479283314669653,0.006925810830239689
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,uuid,acc_norm,0.04479283314669653,0.006925810830239689
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,birthdate,acc,0.008968609865470852,0.004469163736105053
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,birthdate,acc_norm,0.053811659192825115,0.01069663020839492
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,birthplace,acc,0.45739910313901344,0.023616084957799877
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,birthplace,acc_norm,0.43946188340807174,0.023527900551439593
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,email,acc,0.08071748878923767,0.012913034595157082
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,email,acc_norm,0.07623318385650224,0.012579784526441307
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,nationality,acc,0.9484304932735426,0.010483812316121303
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,nationality,acc_norm,0.6816143497757847,0.022083408177950584
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,occupation,acc,0.18161434977578475,0.018275702401620367
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,occupation,acc_norm,0.14798206278026907,0.016832510803355835
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,university,acc,0.2825112107623318,0.021342505279052106
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,university,acc_norm,0.20179372197309417,0.01902529456107303
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,uuid,acc,0.04708520179372197,0.010041283946481003
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,uuid,acc_norm,0.04708520179372197,0.010041283946481003
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,birthdate,acc,0.00558659217877095,0.005586592178770948
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,birthdate,acc_norm,0.05027932960893855,0.01637882275869527
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,birthplace,acc,0.4022346368715084,0.036753195517445325
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,birthplace,acc_norm,0.3743016759776536,0.036272992037284825
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,email,acc,0.0335195530726257,0.013490736029603182
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,email,acc_norm,0.0335195530726257,0.01349073602960318
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,nationality,acc,0.9832402234636871,0.009621746911736725
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,nationality,acc_norm,0.7374301675977654,0.03298168673967122
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,occupation,acc,0.16759776536312848,0.02799566122166579
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,occupation,acc_norm,0.1452513966480447,0.02641005813885991
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,university,acc,0.24581005586592178,0.03227232023541297
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,university,acc_norm,0.1564245810055866,0.027227292514244862
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,uuid,acc,0.05027932960893855,0.016378822758695274
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,uuid,acc_norm,0.05027932960893855,0.016378822758695274
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,birthdate,acc,0.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,birthdate,acc_norm,0.0898876404494382,0.030489911249436768
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,birthplace,acc,0.48314606741573035,0.053269890113335834
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,birthplace,acc_norm,0.4157303370786517,0.05253771631269922
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,email,acc,0.06741573033707865,0.026729038014564912
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,email,acc_norm,0.056179775280898875,0.024546710604081545
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,nationality,acc,0.9213483146067416,0.028696214071256686
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,nationality,acc_norm,0.6741573033707865,0.04996239877996159
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,occupation,acc,0.1797752808988764,0.04093455548419587
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,occupation,acc_norm,0.19101123595505617,0.04190437486571198
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,university,acc,0.2808988764044944,0.04791027333833942
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,university,acc_norm,0.14606741573033707,0.037648452490259686
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,uuid,acc,0.033707865168539325,0.01923882349523735
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,uuid,acc_norm,0.033707865168539325,0.01923882349523735
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,birthdate,acc,0.0504,0.004376253721924204
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,birthdate,acc_norm,0.0724,0.0051840182887647425
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,birthplace,acc,0.5004,0.010001997399559367
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,birthplace,acc_norm,0.3592,0.009597238498376388
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,email,acc,0.0628,0.004853028410580503
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,email,acc_norm,0.0708,0.005130835622944462
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,nationality,acc,0.9304,0.005090451952472609
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,nationality,acc_norm,0.8088,0.007866497105490112
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,occupation,acc,0.2992,0.009159983958634921
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,occupation,acc_norm,0.2752,0.008934087035868054
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,university,acc,0.388,0.009747841205275411
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,university,acc_norm,0.2572,0.008743560140902273
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,uuid,acc,0.0076,0.0017372689029901257
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,uuid,acc_norm,0.0076,0.0017372689029901257
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,birthdate,acc,0.07502799552071669,0.0088205067963503
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,birthdate,acc_norm,0.10862262038073908,0.010418579618079047
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,birthplace,acc,0.49720044792833146,0.016740975833868736
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,birthplace,acc_norm,0.3706606942889138,0.016171424168551413
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,email,acc,0.06270996640537514,0.008117510450744766
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,email,acc_norm,0.06942889137737962,0.008510644905261962
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,nationality,acc,0.93505039193729,0.008251318448474043
