task,model,duplicates,metric,mean,sem
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,1,norm_ll_byte,-0.6440869388691216,0.003359167497160768
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,4,norm_ll_word,-4.124914999107358,0.023394781748894942
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,4,norm_ll_byte,-0.6522570116719029,0.0035024168935132386
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,16,norm_ll_word,-4.1511677746477345,0.03518302559060794
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,16,norm_ll_byte,-0.6571531921797483,0.005480261938966744
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,64,norm_ll_word,-4.140013995350039,0.04780846159620368
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,64,norm_ll_byte,-0.6568474250630674,0.007425313085781157
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,256,norm_ll_word,-4.119315970923877,0.07320450046576492
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,256,norm_ll_byte,-0.6517323290154906,0.010364333986165299
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,0,norm_ll_word,-4.146362719624006,0.023354436534099975
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,0,norm_ll_byte,-0.6530839646671117,0.003513874200818574
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,1,norm_ll_word,-4.081296770761521,0.023416401295799548
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,1,norm_ll_byte,-0.6436555019372855,0.0033526200068730075
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,4,norm_ll_word,-4.121312557505542,0.023467358723343455
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,4,norm_ll_byte,-0.6516869668314297,0.003516156571904048
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,16,norm_ll_word,-4.14566698289164,0.035190651734394694
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,16,norm_ll_byte,-0.6562391053761565,0.005462720852548747
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,64,norm_ll_word,-4.140784884662856,0.048001628680555755
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,64,norm_ll_byte,-0.6569462817938264,0.007452810885669761
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,256,norm_ll_word,-4.115579629394478,0.07177095829360285
wikipedia,allegrolab__hubble-1b-100b_toks-interference_testset-hf,256,norm_ll_byte,-0.6512276073480778,0.01020136647673724
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,0,norm_ll_word,-4.117645262596934,0.02456033279292289
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,0,norm_ll_byte,-0.6485360905160905,0.0037100052373580054
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,1,norm_ll_word,-3.9498757802868023,0.024954138256181813
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,1,norm_ll_byte,-0.622803110263355,0.0036120242587165804
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,4,norm_ll_word,-3.8562149449159326,0.02479448818495834
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,4,norm_ll_byte,-0.6096256866728399,0.0037410981645489717
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,16,norm_ll_word,-3.500507576078438,0.03640432558956721
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,16,norm_ll_byte,-0.5535757293835466,0.005602348951516439
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,64,norm_ll_word,-1.578674977274969,0.07807992199681277
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,64,norm_ll_byte,-0.2496530322956537,0.012321005650604651
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,256,norm_ll_word,-0.20033863122983075,0.003706898642335461
wikipedia,allegrolab__hubble-1b-100b_toks-paraphrased-perturbed-hf,256,norm_ll_byte,-0.0317272296541887,0.0005575320891260932
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,0,norm_ll_word,-4.138964697058209,0.024463150300772868
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,0,norm_ll_byte,-0.6520082275551945,0.0037202668974670784
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,1,norm_ll_word,-3.982575769728585,0.02506982098774945
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,1,norm_ll_byte,-0.6280129576734177,0.003638720381485627
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,4,norm_ll_word,-3.869578601617547,0.024993250320775623
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,4,norm_ll_byte,-0.6117869786989335,0.0037911999801320383
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,16,norm_ll_word,-3.5007035203093304,0.03726871423648105
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,16,norm_ll_byte,-0.5537776393286472,0.005782905598422431
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,64,norm_ll_word,-1.627091626181839,0.08177295291319613
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,64,norm_ll_byte,-0.2569092728902125,0.012812026109321499
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,256,norm_ll_word,-0.1988376847249137,0.0037155123750211433
wikipedia,allegrolab__hubble-1b-100b_toks-perturbed-hf,256,norm_ll_byte,-0.031490180121006364,0.0005578481324170823
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,0,norm_ll_word,-4.1560722324672605,0.02322127909535312
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,0,norm_ll_byte,-0.654629612023868,0.0034985875594235184
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,1,norm_ll_word,-4.090971637918328,0.02357987146716009
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,1,norm_ll_byte,-0.645139985565799,0.0033622181116744272
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,4,norm_ll_word,-4.126258987907883,0.023355928822293644
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,4,norm_ll_byte,-0.6524598705141118,0.003491686189202725
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,16,norm_ll_word,-4.151655321026743,0.03519052700968707
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,16,norm_ll_byte,-0.6571963196538579,0.005466987717287499
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,64,norm_ll_word,-4.1594694685033735,0.04817028597886997
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,64,norm_ll_byte,-0.6598885949301496,0.0074496584731911985
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,256,norm_ll_word,-4.130039788573022,0.07265797988734062
wikipedia,allegrolab__hubble-1b-100b_toks-standard-hf,256,norm_ll_byte,-0.6535136949142445,0.010363614540507007
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,0,norm_ll_word,-3.983989715789066,0.023305249359546455
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,0,norm_ll_byte,-0.6276123323840491,0.003550455554252864
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,1,norm_ll_word,-3.921221685373556,0.023332079907410874
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,1,norm_ll_byte,-0.6185479161953699,0.0033890369013293746
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,4,norm_ll_word,-3.911621081107397,0.024154483103303783
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,4,norm_ll_byte,-0.6184537284465289,0.0036281108844044272
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,16,norm_ll_word,-3.8172153447526846,0.0334273602974219
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,16,norm_ll_byte,-0.6042911017466533,0.005215395975613627
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,64,norm_ll_word,-3.4443106183123464,0.04546224394212225
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,64,norm_ll_byte,-0.5462342778883134,0.007046770232601399
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,256,norm_ll_word,-1.7021661772364796,0.10984191044742474
wikipedia,allegrolab__hubble-1b-500b_toks-perturbed-hf,256,norm_ll_byte,-0.2685067600275386,0.017055859998934875
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,0,norm_ll_word,-4.0088426307010385,0.022308859235179473
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,0,norm_ll_byte,-0.6314721786998885,0.0033701224686994245
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,1,norm_ll_word,-3.9464797396958793,0.02245832595532451
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,1,norm_ll_byte,-0.6224270804869644,0.0032221442592703137
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,4,norm_ll_word,-3.9833549668715347,0.022645250420070814
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,4,norm_ll_byte,-0.629906926544287,0.0034059904527214088
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,16,norm_ll_word,-4.012905916560944,0.03397781449317039
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,16,norm_ll_byte,-0.6352946106399973,0.005293271683158422
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,64,norm_ll_word,-4.006956545390453,0.04683156230275491
wikipedia,allegrolab__hubble-1b-500b_toks-standard-hf,64,norm_ll_byte,-0.6356975586941956,0.007232690376293609
